ItemNo,,ItemName,Material,CatalogDescription,ColorHeading,ColorList,Category,SubCategory,CatalogSize,PackagingDetails,CatalogWeight,Disclaimers,Standard Master Carton Width,Standard Master Carton Length,Standard Master Carton Depth,Standard Master Carton Quantity,Standard Master Carton Actual Weight,PriceQtyCol1,PriceQtyCol2,PriceQtyCol3,PriceQtyCol4,PriceQtyCol5,PriceUSCol1,PriceUSCol2,PriceUSCol3,PriceUSCol4,PriceUSCol5,PriceHeadingType,PriceHeadingUS,Icon_Brand_Name,Photo_Feature,ItemNew,NewCatText,CategoryImageName,SampleTagColors,RecPenCatText,RecPenPriceCol1,RecPenPriceCol2,RecPenPriceCol3,RecPenPriceCol4,RecPenPriceCol5,RecPenPriceCDNCol1,RecPenPriceCDNCol2,RecPenPriceCDNCol3,RecPenPriceCDNCol4,RecPenPriceCDNCol5,CatalogDescPackaging,RecPenFilename,BrandImageName,GroupSubName,GroupName,CategoryShopping,SubCategoryShopping
2150-38,INLINE,Polypro Non-Woven Big Grocery Tote,80g Non-Woven Polypropylene,"Perfect alternative to plastic bags. Open main compartment. Supportive bottom board. Reinforced binding on edges. Interior fabric loop at opening for attaching bag to supermarket checkout frames. Reinforced handles and binding for added durability. 10"" handle drop height.",Colors:,"Black, Green, Hntr Grn, Lime, Natural, OceanBL, Orange, Pink, Purple, Red, Royal, White or Yellow",Totes,Non-Woven Totes (Totes),"15"" H x 13"" W x 10"" L",Bulk,,,15.74803,13.77953,22.44094,90,18.7,288,400,750,1000,1500,1.78,1.7,1.63,1.55,1.48,5R,US$,,2150-38OR_D-8.eps,,,TotesBusinessCases_R.eps,13 colors available,,,,,,,,,,,,"Perfect alternative to plastic bags. Open main compartment. Supportive bottom board. Reinforced binding on edges. Interior fabric loop at opening for attaching bag to supermarket checkout frames. Reinforced handles and binding for added durability. 10"" handle drop height. Bulk",,,Polypro Non-Woven Big Grocery Tote,Polypro Non-Woven Big Grocery Tote,Bags,Totes & Business Cases
2150-40,INLINE,PolyPro Non-Woven Foldable Tote,80g Non-Woven Polypropylene,"Perfect alternative to plastic bags. Portable tote folds and zippers into 5""H x 8.5""W pouch with front pocket and clip zipper pull. Unzipped tote has an open main compartment. Front pocket, pen loop. Reinforced handles. 13"" handle drop height.",Colors:,Black or Royal,Totes,Non-Woven Totes (Totes),"15.75"" H x 15"" W x .5"" L",Bulk,,,19,17,17,200,14.982,288,400,750,1000,1500,2.43,2.33,2.23,2.15,1.98,5R,US$,,2150-40BK_D.eps,,,TotesBusinessCases_L.eps,Colors: Black or Royal,,,,,,,,,,,,"Perfect alternative to plastic bags. Portable tote folds and zippers into 5""H x 8.5""W pouch with front pocket and clip zipper pull. Unzipped tote has an open main compartment. Front pocket, pen loop. Reinforced handles. 13"" handle drop height. Bulk",,,PolyPro Non-Woven Foldable Tote,PolyPro Non-Woven Foldable Tote,Bags,Totes & Business Cases
2150-42,INLINE,PolyPro Non-Woven Small Shopper Tote,80g Non-Woven Polypropylene,"Perfect alternative to plastic bags. Open main compartment. Side pocket. Reinforced contrast handles, binding and gusset. 14"" handle drop height.",Color:,Gray,Totes,Non-Woven Totes (Totes),"12"" H x 16"" W x 6"" L",Bulk,,,17.32283,14.17323,16.92913,100,12.1,288,400,750,1000,1500,1.7,1.63,1.57,1.5,1.38,5R,US$,,2150-42GY_D-3.eps,,,TotesBusinessCases_R.eps,Color: Gray,,,,,,,,,,,,"Perfect alternative to plastic bags. Open main compartment. Side pocket. Reinforced contrast handles, binding and gusset. 14"" handle drop height. Bulk",,,PolyPro Non-Woven Small Shopper Tote,PolyPro Non-Woven Small Shopper Tote,Bags,Totes & Business Cases
2150-44,INLINE,PolyPro Non-Woven Contrast Carry-All Tote,80g Non-Woven Polypropylene,"Perfect alternative to plastic bags. Open main compartment. Front open pocket and pen loop. Contrast binding and handles. Reinforced handles. Interior fabric loop at opening for attaching to supermarket checkout frames. 10"" handle drop height.",Colors:,"Gray, Red or Royal",Totes,Non-Woven Totes (Totes),"14.5"" H x 13"" W x 6"" L",Bulk,,,16,16,16,100,14.982,288,400,750,1000,1500,2.43,2.33,2.23,2.15,1.98,5R,US$,,2150-44RYL_D.eps,,,TotesBusinessCases_L.eps,"Colors: Gray, Red or Royal",,,,,,,,,,,,"Perfect alternative to plastic bags. Open main compartment. Front open pocket and pen loop. Contrast binding and handles. Reinforced handles. Interior fabric loop at opening for attaching to supermarket checkout frames. 10"" handle drop height. Bulk",,,PolyPro Non-Woven Contrast Carry-All Tote,PolyPro Non-Woven Contrast Carry-All Tote,Bags,Totes & Business Cases
2150-46,INLINE,PolyPro Non-Woven Insulated Big Grocery Tote,100g Non-Woven Polypropylene,"Perfect alternative to plastic bags; Keeps your goods cool after a trip to the grocery store. Insulated with heat-sealed water-resistant lining. Zippered main compartment. Front pocket. Interior fabric loop at opening for attaching bag to supermarket checkout frames. Reinforced handles and binding for added durability. 11"" handle drop height.",Colors:,"Black, Natural or Red",Totes,Non-Woven Totes (Totes),"15"" H x 13"" W x 10"" L",Bulk,,,26.77165,15.74803,18.11024,80,33,144,250,400,600,1000,3.67,3.52,3.37,3.22,2.98,5R,US$,,2150-46HG_D-2.eps,,,TotesBusinessCases_R.eps,"Colors: Black, Natural or Red",,,,,,,,,,,,"Perfect alternative to plastic bags; Keeps your goods cool after a trip to the grocery store. Insulated with heat-sealed water-resistant lining. Zippered main compartment. Front pocket. Interior fabric loop at opening for attaching bag to supermarket checkout frames. Reinforced handles and binding for added durability. 11"" handle drop height. Bulk",,,PolyPro Non-Woven Insulated Big Grocery Tote,PolyPro Non-Woven Insulated Big Grocery Tote,Bags,Totes & Business Cases
2150-51,INLINE,Printed PolyPro Chevron Shopper Tote,80g Non-Woven Polypropylene,"On-trend design is printed directly onto the material for a new and fresh take on PolyPro. Perfect alternative to plastic bags. Open main compartment. Pen loop and front pocket. Reinforced binding and handles for added durability. 11"" handle drop height.",Colors:,"Black, Lime, Purple, Red or Royal",Totes,Non-Woven Totes (Totes),"14"" H x 12"" W x 5"" L",Bulk,,,16.14173,13.38583,22.44094,200,27.5,288,400,750,1000,1500,2.43,2.33,2.23,2.15,1.98,5R,US$,,2150-51PP_D-2.eps,,,TotesBusinessCases_L.eps,"Colors: Black, Lime, Purple, Red or Royal",,,,,,,,,,,,"On-trend design is printed directly onto the material for a new and fresh take on PolyPro. Perfect alternative to plastic bags. Open main compartment. Pen loop and front pocket. Reinforced binding and handles for added durability. 11"" handle drop height. Bulk",,,Printed PolyPro Chevron Shopper Tote,Printed PolyPro Chevron Shopper Tote,Bags,Totes & Business Cases
2150-98,INLINE,PolyPro Non-Woven Cinch,80g Non-Woven Polypropylene,Large main compartment with cinch top. Drawstring design for over-the-shoulder or backpack carry. Eco woven label to promote reusability as this is a perfect alternative to plastic bags.,Colors:,"Gray, Lime, Red or Royal",Backpacks,Cinches (Backpacks),"17.5"" H x 13.5"" W x .25"" L",Bulk,,,20.47244,14.96063,14.96063,200,24.2,288,400,750,1000,1500,2.27,2.17,2.07,1.98,1.88,5R,US$,,2150-98LM_D-1.eps,,,BackpacksDuffels_R.eps,"Colors: Gray, Lime, Red or Royal",,,,,,,,,,,,Large main compartment with cinch top. Drawstring design for over-the-shoulder or backpack carry. Eco woven label to promote reusability as this is a perfect alternative to plastic bags. Bulk,,,PolyPro Non-Woven Cinch,PolyPro Non-Woven Cinch,Bags,Backpacks & Duffels
10/1/2151,INLINE,PolyPro Non-Woven Quilted Insulated Tote,100g Non-Woven Polypropylene,"Keeps your goods cool after a trip to the grocery store. Perfect alternative to plastic bags. Insulated with heat-sealed water-resistant lining. Zippered main compartment. Open front pocket. Quilted diamond material accents; contrast binding and stitch details. Reinforced handles and binding on edges for added durability. 7"" handle drop height.",Color:,Black,Totes,Non-Woven Totes (Totes),"12.5"" H x 11.75"" W x 7.74"" L",Bulk,,,26.37795,14.96063,15.74803,100,29.92,144,250,400,600,1000,4.53,4.35,4.17,3.98,3.68,5R,US$,,2151-10BK_D-1.eps,,,TotesBusinessCases_R.eps,Color: Black,,,,,,,,,,,,"Keeps your goods cool after a trip to the grocery store. Perfect alternative to plastic bags. Insulated with heat-sealed water-resistant lining. Zippered main compartment. Open front pocket. Quilted diamond material accents; contrast binding and stitch details. Reinforced handles and binding on edges for added durability. 7"" handle drop height. Bulk",,,PolyPro Non-Woven Quilted Insulated Tote,PolyPro Non-Woven Quilted Insulated Tote,Bags,Totes & Business Cases
4/1/2160,INLINE,Laminated Non-Woven Small Shopper Tote,110g Laminated Non-Woven Polypropylene,"Perfect alternative to plastic bags. Open main compartment. Laminated material is water-resistant and easily wipes clean. Polypropylene non-woven reinforced handles and binding for added durability. 8"" handle drop height.",Colors:,"Black, Lime, Red, Royal or White",Totes,Non-Woven Totes (Totes),"12"" H x 9"" W x 4.5"" L",Bulk,,,19.68504,14.56693,20.47244,300,25.3,288,400,750,1000,1500,2.43,2.33,2.23,2.15,1.98,5R,US$,,2160-04RYL_D.eps,,,TotesBusinessCases_L.eps,"Colors: Black, Lime, Red, Royal or White",,,,,,,,,,,,"Perfect alternative to plastic bags. Open main compartment. Laminated material is water-resistant and easily wipes clean. Polypropylene non-woven reinforced handles and binding for added durability. 8"" handle drop height. Bulk",,,Laminated Non-Woven Small Shopper Tote,Laminated Non-Woven Small Shopper Tote,Bags,Totes & Business Cases
5/1/2160,INLINE,Laminated Non-Woven Large Shopper Tote,110g Laminated Non-Woven Polypropylene,"Perfect alternative to plastic bags. Open main compartment. Laminated material is water-resistant and easily wipes clean. Polypropylene non-woven reinforced handles and binding for added durability. 10"" handle drop height.",Colors:,"Black, Red, Royal or White",Totes,Non-Woven Totes (Totes),"14"" H x 16"" W x 6"" L",Bulk,,,17.71654,16.92913,15.74803,150,23.1,288,400,750,1000,1500,3.05,2.93,2.8,2.68,2.48,5R,US$,,2160-05RYL_D.eps,,,TotesBusinessCases_L.eps,"Colors: Black, Red, Royal or White",,,,,,,,,,,,"Perfect alternative to plastic bags. Open main compartment. Laminated material is water-resistant and easily wipes clean. Polypropylene non-woven reinforced handles and binding for added durability. 10"" handle drop height. Bulk",,,Laminated Non-Woven Large Shopper Tote,Laminated Non-Woven Large Shopper Tote,Bags,Totes & Business Cases
8/1/2160,INLINE,Laminated Non-Woven Quilted Carry-All Tote,110g Laminated Non-Woven Polypropylene,"Stitched quilting details give this tote a fashion twist and a subtle classic printed effect. Perfect alternative to plastic bags. Open main compartment. Open front pocket with pen loop. Laminated material is water-resistant and easily wipes clean. 10"" handle drop height.",Colors:,Black or Silver,Totes,Non-Woven Totes (Totes),"13"" H x 15"" W x 8"" L",Bulk,,,14,17,20,100,23.1,144,250,400,600,1000,4.4,4.23,4.05,3.87,3.58,5R,US$,,2160-08SL_D-2.eps,,,TotesBusinessCases_R.eps,Colors: Black or Silver,,,,,,,,,,,,"Stitched quilting details give this tote a fashion twist and a subtle classic printed effect. Perfect alternative to plastic bags. Open main compartment. Open front pocket with pen loop. Laminated material is water-resistant and easily wipes clean. 10"" handle drop height. Bulk",,,Laminated Non-Woven Quilted Carry-All Tote,Laminated Non-Woven Quilted Carry-All Tote,Bags,Totes & Business Cases
9/1/2160,INLINE,Matte Laminated Grocers Brown Bag,110g Laminated Non-Woven Polypropylene,"This tote turns paper and plastic bags on their heads with a fun ""Paper Nor Plastic"" graphic. Material is printed to look like an old paper grocery bag making it a perfect alternative to plastic bags. Open main compartment. Supportive bottom board. Matte finish. Laminated material is water-resistant and easily wipes clean. Reinforced handles and binding for added durability. 8.75"" handle drop height.",Color:,Natural,Totes,Non-Woven Totes (Totes),"14.75"" H x 13.25"" W x 7.75"" L",Bulk,,,16.53543,14.17323,14.96063,100,25.3,288,400,750,1000,1500,3.3,3.17,3.03,2.9,2.68,5R,US$,,2160-09NT_D-2.eps,Yes,New,TotesBusinessCases_L.eps,Color: Natural,,,,,,,,,,,,"This tote turns paper and plastic bags on their heads with a fun ""Paper Nor Plastic"" graphic. Material is printed to look like an old paper grocery bag making it a perfect alternative to plastic bags. Open main compartment. Supportive bottom board. Matte finish. Laminated material is water-resistant and easily wipes clean. Reinforced handles and binding for added durability. 8.75"" handle drop height. Bulk",,,Matte Laminated Grocers Brown Bag,Matte Laminated Grocers Brown Bag,Bags,Totes & Business Cases
2160-38,INLINE,Laminated Non-Woven Big Grocery Tote,110g Laminated Non-Woven Polypropylene,"Eco-print pattern supports environmentally friendly promotions and is also ideal for grocery shopping, beach trips and other outdoor events. Perfect alternative to plastic bags. Large main open compartment. Supportive bottom board. Open front pocket. Laminated material is water-resistant and easily wipes clean. Polypropylene non-woven reinforced handles and binding for added durability. 10"" handle drop height.",Colors:,"Black, Hntr Grn, Red or Royal",Totes,Non-Woven Totes (Totes),"15"" H x 13"" W x 10"" L",Bulk,,,16.53543,14.17323,18.11024,100,25.74,288,400,750,1000,1500,3.42,3.28,3.15,3,2.78,5R,US$,,2160-38HG_D-3.eps,,,TotesBusinessCases_R.eps,"Colors: Black, Hntr Grn, Red or Royal",,,,,,,,,,,,"Eco-print pattern supports environmentally friendly promotions and is also ideal for grocery shopping, beach trips and other outdoor events. Perfect alternative to plastic bags. Large main open compartment. Supportive bottom board. Open front pocket. Laminated material is water-resistant and easily wipes clean. Polypropylene non-woven reinforced handles and binding for added durability. 10"" handle drop height. Bulk",,,Laminated Non-Woven Big Grocery Tote,Laminated Non-Woven Big Grocery Tote,Bags,Totes & Business Cases
2160-48,INLINE,Matte Laminated Non-Woven Vintage Big Grocery Tote,110g Laminated Non-Woven Polypropylene,"Organic veggies and antique kitchen utensils take center stage in this vintage print. Perfect alternative to plastic bags. Large open main compartment. Supportive bottom board. Contrasting regular polypropylene front open pocket. Matte finish. Laminated material is water-resistant and easily wipes clean. Reinforced handles and binding for added durability. 10"" handle drop height.",Color:,Natural,Totes,Non-Woven Totes (Totes),"15"" H x 13"" W x 10"" L",Bulk,,,16.53543,14.56693,18.89764,100,26.4,288,400,750,1000,1500,3.42,3.28,3.15,3,2.78,5R,US$,,2160-48NT_D-2.eps,,,TotesBusinessCases_R.eps,Color: Natural,,,,,,,,,,,,"Organic veggies and antique kitchen utensils take center stage in this vintage print. Perfect alternative to plastic bags. Large open main compartment. Supportive bottom board. Contrasting regular polypropylene front open pocket. Matte finish. Laminated material is water-resistant and easily wipes clean. Reinforced handles and binding for added durability. 10"" handle drop height. Bulk",,,Matte Laminated Non-Woven Vintage Big Grocery Tote,Matte Laminated Non-Woven Vintage Big Grocery Tote,Bags,Totes & Business Cases
2160-50,INLINE,Laminated Non-Woven Striped Big Grocery Tote,110g Laminated Non-Woven Polypropylene,"Perfect alternative to plastic bags. Subtle striped print will make your logo pop. Large open main compartment. Supportive bottom board. Contrasting regular polypropylene front open pocket. Laminated material is water-resistant and easily wipes clean. Reinforced handles and binding for added durability. 10"" handle drop height.",Color:,Royal,Totes,Non-Woven Totes (Totes),"15"" H x 13"" W x 10"" L",Bulk,,,16.53543,14.17323,18.11024,100,25.74,288,400,500,1000,1500,3.3,3.17,3.03,2.9,2.68,5R,US$,,2160-50RYL_D.eps,,,TotesBusinessCases_R.eps,Color: Royal,,,,,,,,,,,,"Perfect alternative to plastic bags. Subtle striped print will make your logo pop. Large open main compartment. Supportive bottom board. Contrasting regular polypropylene front open pocket. Laminated material is water-resistant and easily wipes clean. Reinforced handles and binding for added durability. 10"" handle drop height. Bulk",,,Laminated Non-Woven Striped Big Grocery Tote,Laminated Non-Woven Striped Big Grocery Tote,Bags,Totes & Business Cases
2160-55,INLINE,Laminated Non-Woven Brown Baggin' It Lunch Bag,110g Laminated Non-Woven Polypropylene,"Unique brown paper lunch-bag style reminiscent of your school cafeteria days. Main compartment with roll top and Velcro closure. Open front pocket. Laminated material is water-resistant and easily wipes clean. Contrast carry handle with 5"" drop height. Insulated with heat-sealed water-resistant lining.",Color:,Brown,Coolers,Lunch Coolers (Coolers),"11"" H x 7.5"" W x 5"" L",Bulk,,,16.53543,12.99213,15.74803,100,16.72,288,400,750,1000,1500,3.42,3.28,3.15,3,2.78,5R,US$,,2160-55BR_D-2.eps,,,RecreationCoolersTowels_R.eps,Color: Brown,,,,,,,,,,,,"Unique brown paper lunch-bag style reminiscent of your school cafeteria days. Main compartment with roll top and Velcro closure. Open front pocket. Laminated material is water-resistant and easily wipes clean. Contrast carry handle with 5"" drop height. Insulated with heat-sealed water-resistant lining. Bulk",,,Laminated Non-Woven Brown Baggin' It Lunch Bag,Laminated Non-Woven Brown Baggin' It Lunch Bag,Outdoors & Leisure,"Outdoor & Recreation, Coolers & Towels"
2160-83,INLINE,Laminated Non-Woven Lunch Bag,110g Laminated Non-Woven Polypropylene,"Zippered main compartment. Open front pocket and side mesh pocket. Rear ID space. Laminated material is water-resistant and easily wipes clean. Reinforced double handles with 5"" handle drop height. Insulated with heat-sealed water-resistant lining.",Colors:,"Black, Lime, Red or Royal",Coolers,Lunch Coolers (Coolers),"10.5"" H x 5"" W x 9.25"" L",Bulk,,,21.25984,13.77953,14.17323,100,19.8,288,400,500,1000,1500,3.67,3.52,3.37,3.22,2.98,5R,US$,,2160-83LM_D-2.eps,,,RecreationCoolersTowels_L.eps,"Colors: Black, Lime, Red or Royal",,,,,,,,,,,,"Zippered main compartment. Open front pocket and side mesh pocket. Rear ID space. Laminated material is water-resistant and easily wipes clean. Reinforced double handles with 5"" handle drop height. Insulated with heat-sealed water-resistant lining. Bulk",,,Laminated Non-Woven Lunch Bag,Laminated Non-Woven Lunch Bag,Outdoors & Leisure,"Outdoor & Recreation, Coolers & Towels"
2/1/2170,INLINE,Empire Cinch Lunch Cooler,600d PolyCanvas with 210d Accents,"Part of the In Print Trend Collection and perfect for the woman that isn't afraid of bold prints; this cooler tote is inspired by the art deco architecture of New York City. Drawstring cinched main compartment. Open front pocket with Velcro closure. 8"" handle drop height. Insulated PEVA lining.",Colors:,"Black, Navy or Red",Coolers,Lunch Coolers (Coolers),"12"" H x 10"" W x 6"" L",Bulk,,,24.40945,14.56693,12.99213,25,16.5,48,150,300,450,600,9.82,9.42,9.02,8.62,7.98,5R,US$,,2170-02BK_D-2.eps,,,RecreationCoolersTowels_R.eps,"Colors: Black, Navy or Red",,,,,,,,,,,,"Part of the In Print Trend Collection and perfect for the woman that isn't afraid of bold prints; this cooler tote is inspired by the art deco architecture of New York City. Drawstring cinched main compartment. Open front pocket with Velcro closure. 8"" handle drop height. Insulated PEVA lining. Bulk",,,Empire Cinch Lunch Cooler,Empire Cinch Lunch Cooler,Outdoors & Leisure,"Outdoor & Recreation, Coolers & Towels"
2170-21,INLINE,Color Dip Dual Compartment Lunch Cooler,600d PolyCanvas,"Part of the Split Decision Trend Collection. Right on trend, this cooler is dipped in bright and fresh colors; perfect for health and wellness events. Zippered main compartment. Bottom zippered compartment holds your food storage containers for ideal lunch organization. Zippered front pocket. Die-cut carry handles. Insulated PEVA lining.",Colors:,"Black, Lime, Red, Royal or Turquoise",Coolers,Lunch Coolers (Coolers),"12.5"" H x 9"" W x 6"" L",Bulk,,,19.68504,11.02362,16.92913,25,15.84,48,150,300,450,600,11.05,10.6,10.15,9.7,8.98,5R,US$,,2170-21TQ_D-3.eps,,,RecreationCoolersTowels_L.eps,"Colors: Black, Lime, Red, Royal or Turquoise",,,,,,,,,,,,"Part of the Split Decision Trend Collection. Right on trend, this cooler is dipped in bright and fresh colors; perfect for health and wellness events. Zippered main compartment. Bottom zippered compartment holds your food storage containers for ideal lunch organization. Zippered front pocket. Die-cut carry handles. Insulated PEVA lining. Bulk",,,Color Dip Dual Compartment Lunch Cooler,Color Dip Dual Compartment Lunch Cooler,Outdoors & Leisure,"Outdoor & Recreation, Coolers & Towels"
1/1/2180,INLINE,Budget Lunch Cooler,210d Polyester,Perfect for a budget health or wellness event. Zippered main compartment. Front pocket. Top carry handle. Insulated PEVA lining.,Colors:,"Black, Red or Royal",Coolers,Lunch Coolers (Coolers),"6"" H x 8"" W x 6"" L",Bulk,,,20.47244,14.17323,13.77953,100,15.4,288,400,750,1000,1500,3.05,2.93,2.8,2.68,2.48,5R,US$,,2180-01RD_D-2.eps,,,RecreationCoolersTowels_R.eps,"Colors: Black, Red or Royal",,,,,,,,,,,,Perfect for a budget health or wellness event. Zippered main compartment. Front pocket. Top carry handle. Insulated PEVA lining. Bulk,,,Budget Lunch Cooler,Budget Lunch Cooler,,
5/1/2180,INLINE,Peak Lunch Cooler Bag,210d Polyester,"Inspired by sport duffels, this lunch cooler has unique air-mesh accents and trim. Open main compartment with large U-shaped zippered flap closure. Front pocket with Velcro closure and clear rear ID window. Side mesh pocket. Top carry handle. Insulated PEVA lining.",Colors:,Red or Royal,Coolers,Lunch Coolers (Coolers),"8"" H x 9"" W x 6"" L",Bulk,,,19.48819,11.81102,16.92913,50,12.364,60,150,300,450,600,6.87,6.58,6.32,6.03,5.58,5R,US$,,2180-05RD_D-1.eps,Yes,New,RecreationCoolersTowels_L.eps,Colors: Red or Royal,,,,,,,,,,,,"Inspired by sport duffels, this lunch cooler has unique air-mesh accents and trim. Open main compartment with large U-shaped zippered flap closure. Front pocket with Velcro closure and clear rear ID window. Side mesh pocket. Top carry handle. Insulated PEVA lining. Bulk",,,Peak Lunch Cooler Bag,Peak Lunch Cooler Bag,Outdoors & Leisure,"Outdoor & Recreation, Coolers & Towels"
6/1/2180,INLINE,Stay Puff Lunch Cooler Bag,210d Polyester,"Inspired by puffy sport coats, this lunch cooler features contrast side stitching for a quilted look. Open main compartment with top zip closure. Open front pocket and side mesh pocket. Unique top handle clips in place so you can securely fasten it to another bag. Insulated PEVA lining.",Colors:,Gray or Royal,Coolers,Lunch Coolers (Coolers),"8"" H x 10.25"" W x 6"" L",Bulk,,,19.29134,11.41732,18.89764,50,13.464,60,150,300,450,600,7.37,7.07,6.77,6.47,5.98,5R,US$,,2180-06RYL_D-1.eps,Yes,New,RecreationCoolersTowels_L.eps,Colors: Gray or Royal,,,,,,,,,,,,"Inspired by puffy sport coats, this lunch cooler features contrast side stitching for a quilted look. Open main compartment with top zip closure. Open front pocket and side mesh pocket. Unique top handle clips in place so you can securely fasten it to another bag. Insulated PEVA lining. Bulk",,,Stay Puff Lunch Cooler Bag,Stay Puff Lunch Cooler Bag,Outdoors & Leisure,"Outdoor & Recreation, Coolers & Towels"
12/1/2180,INLINE,Express Compu-Case,600d PolyCanvas and Nylon accents,"Holds most 15"" laptops. Main compartment includes built-in laptop sleeve. Front zippered pleated pocket with full interior organization. Side mesh pocket. Adjustable shoulder strap and two carry handles.",Color:,Black,Business Cases,Compu-Cases (Business Cases),"12"" H x 15.5"" W x 4"" L",Bulk,,,18.89764,13.77953,12.20472,12,13.2,48,150,300,450,600,14.73,14.13,13.53,12.95,11.98,5R,US$,,2180-12BK_D.eps,,,TechBags_L.eps,Color: Black,,,,,,,,,,,,"Holds most 15"" laptops. Main compartment includes built-in laptop sleeve. Front zippered pleated pocket with full interior organization. Side mesh pocket. Adjustable shoulder strap and two carry handles. Bulk",,,Express Compu-Case,Express Compu-Case,Bags,Tech Bags
4/1/2190,INLINE,Square Convention Tote,600d PolyCanvas,"Great for tradeshows, conventions, and business meetings. Open main compartment. D-ring and front pockets for pens and business cards. Side elastic mesh pocket. Gusseted side pocket. 13"" handle drop height.",Colors:,Gray or Royal,Totes,Totes (Totes),"15"" H x 13"" W x 3.5"" L",Bulk,,,18.11024,17.71654,9.05512,50,26.4,96,150,300,450,600,6.38,6.12,5.85,5.6,5.18,5R,US$,,2190-04GY_D-1.eps,,,TotesBusinessCases_R.eps,Colors: Gray or Royal,,,,,,,,,,,,"Great for tradeshows, conventions, and business meetings. Open main compartment. D-ring and front pockets for pens and business cards. Side elastic mesh pocket. Gusseted side pocket. 13"" handle drop height. Bulk",,,Square Convention Tote,Square Convention Tote,Bags,Totes & Business Cases
2200-30,INLINE,Colorband Carry-All Tote,600d PolyCanvas,"Wider style perfect for tradeshows, conventions, and business meetings. Open main compartment. 11"" handle drop height.",Colors:,Red or Royal,Totes,Totes (Totes),"12.5"" H x 17"" W x 4"" L",Bulk,,,18.89764,14.17323,12.99213,48,30.36,96,150,300,450,600,6,5.77,5.52,5.27,4.88,5R,US$,,2200-30RYL_D.eps,,,TotesBusinessCases_R.eps,Colors: Red or Royal,,,,,,,,,,,,"Wider style perfect for tradeshows, conventions, and business meetings. Open main compartment. 11"" handle drop height. Bulk",,,Colorband Carry-All Tote,Colorband Carry-All Tote,Bags,Totes & Business Cases
2200-66,INLINE,Steel Threads Acrylic Identification Tag,BrushAlum,Secures with metal cord. Holds standard business card.,Color:,Gray,Travel Gifts,Luggage & Id Tags (Travel Gifts),"2.25"" H x 4.25"" W x .25"" L",1-piece white gift box,,,16.18,12.63,10.82,96,20.06,48,150,300,450,600,9.45,9.07,8.68,8.3,7.68,5R,US$,,2200-66GY_D-2.eps,,,LuggageTravelGifts_L.eps,Color: Gray,,,,,,,,,,,,Secures with metal cord. Holds standard business card. 1-piece white gift box,,,Steel Threads Acrylic Identification Tag,Steel Threads Acrylic Identification Tag,"Drinkware, Home & Travel",Luggage & Travel Gifts
7/1/2230,INLINE,Evolution Recycled JournalBook™,Recycled Cardboard,100 sheets of lined recycled paper with recycling symbol printed on each page. Elastic pen loop. Elastic closure. Includes important contacts page and calendar.,Colors:,Black or Royal,Journalbooks,Spiral (Journalbooks),"7"" H x 5.62"" W x .62"" L",Bulk,,,13,8,14,36,19.976,144,250,400,600,1000,4.9,4.7,4.5,4.3,3.98,5R,US$,JournalBooks.eps,2230-07BK_D.eps,,,Journals_L.eps,Colors: Black or Royal,2230-07 + Recommended pen 1055-28,5.58,5.38,5.18,4.98,4.66,6.77,6.53,6.3,6.05,5.67,100 sheets of lined recycled paper with recycling symbol printed on each page. Elastic pen loop. Elastic closure. Includes important contacts page and calendar. Bulk,,JournalBooks.eps,Evolution Recycled JournalBook™,Evolution Recycled JournalBook™,Office,Journals
9/1/2230,INLINE,Evolution Large Recycled JournalBook™,Recycled Cardboard,70 sheets of lined recycled paper. Elastic closure. Elastic pen loop. Includes important contacts sheet and calendar.,Color:,Black,Journalbooks,Spiral (Journalbooks),"10"" H x 7"" W x .5"" L",Bulk,,,11,17,10,30,28.9652,72,150,300,450,600,7.37,7.07,6.77,6.47,5.98,5R,US$,JournalBooks.eps,2230-09BK_D.eps,,,Journals_L.eps,Color: Black,2230-09 + Recommended pen 1055-28,8.05,7.75,7.45,7.15,6.66,9.78,9.4,9.05,8.67,8.1,70 sheets of lined recycled paper. Elastic closure. Elastic pen loop. Includes important contacts sheet and calendar. Bulk,,JournalBooks.eps,Evolution Large Recycled JournalBook™,Evolution Large Recycled JournalBook™,Office,Journals
6/1/2300,INLINE,Prism JournalBook™,Anodized Aluminum,100 sheets of spiral bound lined paper. Elastic pen loop. Includes important contacts sheet and calendar.,Color:,Silver,Journalbooks,Spiral (Journalbooks),"7"" H x 6"" W x .625"" L",Bulk,,,16.14173,13.77953,8.46457,48,28.6,60,150,300,450,600,6.13,5.88,5.63,5.38,4.98,5R,US$,JournalBooks.eps,2300-06SL_D.eps,,,Journals_R.eps,Color: Silver,2300-06 + Recommended pen 1065-19,8.01,7.76,7.51,7.26,6.86,9.63,9.35,9.05,8.73,8.25,100 sheets of spiral bound lined paper. Elastic pen loop. Includes important contacts sheet and calendar. Bulk,,JournalBooks.eps,Prism JournalBook™,Prism JournalBook™,Office,Journals
